,Cars,Make,Year
0,Acura RL Sedan 2012,Acura,2012
1,Acura RL Sedan 2012,Acura,2012
2,Acura RL Sedan 2012,Acura,2012
3,Acura RL Sedan 2012,Acura,2012
4,Acura RL Sedan 2012,Acura,2012
5,Acura RL Sedan 2012,Acura,2012
6,Acura RL Sedan 2012,Acura,2012
7,Acura RL Sedan 2012,Acura,2012
8,Acura RL Sedan 2012,Acura,2012
9,Acura RL Sedan 2012,Acura,2012
10,Acura RL Sedan 2012,Acura,2012
11,Acura RL Sedan 2012,Acura,2012
12,Acura RL Sedan 2012,Acura,2012
13,Acura RL Sedan 2012,Acura,2012
14,Acura RL Sedan 2012,Acura,2012
15,Acura RL Sedan 2012,Acura,2012
16,Acura RL Sedan 2012,Acura,2012
17,Acura RL Sedan 2012,Acura,2012
18,Acura RL Sedan 2012,Acura,2012
19,Acura RL Sedan 2012,Acura,2012
20,Acura RL Sedan 2012,Acura,2012
21,Acura RL Sedan 2012,Acura,2012
22,Acura RL Sedan 2012,Acura,2012
23,Acura RL Sedan 2012,Acura,2012
24,Acura RL Sedan 2012,Acura,2012
25,Acura RL Sedan 2012,Acura,2012
26,Acura RL Sedan 2012,Acura,2012
27,Acura RL Sedan 2012,Acura,2012
28,Acura RL Sedan 2012,Acura,2012
29,Acura RL Sedan 2012,Acura,2012
30,Acura RL Sedan 2012,Acura,2012
31,Acura RL Sedan 2012,Acura,2012
32,Acura TL Type-S 2008,Acura,2008
33,Acura TL Type-S 2008,Acura,2008
34,Acura TL Type-S 2008,Acura,2008
35,Acura TL Type-S 2008,Acura,2008
36,Acura TL Type-S 2008,Acura,2008
37,Acura TL Type-S 2008,Acura,2008
38,Acura TL Type-S 2008,Acura,2008
39,Acura TL Type-S 2008,Acura,2008
40,Acura TL Type-S 2008,Acura,2008
41,Acura TL Type-S 2008,Acura,2008
42,Acura TL Type-S 2008,Acura,2008
43,Acura TL Type-S 2008,Acura,2008
44,Acura TL Type-S 2008,Acura,2008
45,Acura TL Type-S 2008,Acura,2008
46,Acura TL Type-S 2008,Acura,2008
47,Acura TL Type-S 2008,Acura,2008
48,Acura TL Type-S 2008,Acura,2008
49,Acura TL Type-S 2008,Acura,2008
50,Acura TL Type-S 2008,Acura,2008
51,Acura TL Type-S 2008,Acura,2008
52,Acura TL Type-S 2008,Acura,2008
53,Acura TL Type-S 2008,Acura,2008
54,Acura TL Type-S 2008,Acura,2008
55,Acura TL Type-S 2008,Acura,2008
56,Acura TL Type-S 2008,Acura,2008
57,Acura TL Type-S 2008,Acura,2008
58,Acura TL Type-S 2008,Acura,2008
59,Acura TL Type-S 2008,Acura,2008
60,Acura TL Type-S 2008,Acura,2008
61,Acura TL Type-S 2008,Acura,2008
62,Acura TL Type-S 2008,Acura,2008
63,Acura TL Type-S 2008,Acura,2008
64,Acura TL Type-S 2008,Acura,2008
65,Acura TL Type-S 2008,Acura,2008
66,Acura TL Type-S 2008,Acura,2008
67,Acura TL Type-S 2008,Acura,2008
